State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Rural_Households,Households_with_Electric_Lighting,SC,ST,Workers,Non_Workers,Sex-Ratio,Literacy Rate
Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,602,3728104,75634,387237,909400,821646,47243,1538054,2190050,99.0,75.0
Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727,619,1264277,4416,321331,303114,430927,3034,540168,724109,102.0,75.0
Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,606,2464875,6445,563102,549077,565329,90954,1238177,1226698,99.0,66.0
Tamil Nadu,Vellore,12.784882632293078,79.02643283582084,605,3936331,20623,653499,865913,860212,72955,1689330,2247001,101.0,70.0
Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,625,1942288,10219,363782,505950,399831,2294,950158,992130,101.0,72.0
Tripura,Dhalai,23.781360477941163,91.94654283088232,291,378230,273,89457,46875,61688,210608,155831,222399,94.0,73.0
Tripura,North Tripura,24.121739755351683,92.17842538226292,292,693947,997,150437,81601,114968,179426,248667,445280,97.0,75.0
Tripura,South Tripura,23.211874098057383,91.6065807585568,290,876001,948,219171,133744,140168,344835,366845,509156,96.0,74.0
Tripura,West Tripura,23.780166241299337,91.41310788863107,289,1725739,6394,289621,314567,338094,431944,698178,1027561,96.0,79.0
Uttar Pradesh,Agra,26.99512974910393,78.05278291517321,146,4418797,27183,496971,536402,991325,7255,1389844,3028953,87.0,61.0
Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557,143,3673889,13634,582117,268120,755254,629,1174361,2499528,88.0,57.0
Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,175,5954391,24122,983266,391542,1309851,7955,2111907,3842484,90.0,62.0
Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,178,2397888,2509,501559,99581,591125,746,787398,1610490,98.0,62.0
Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,162,1379545,2404,255836,65479,391622,150,442023,937522,86.0,67.0
Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285,191,4613913,6652,891024,183381,1171378,9327,1372032,3241881,102.0,60.0
Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,139,1303048,2989,246055,119121,149060,14,416695,886353,86.0,61.0
Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,180,3487731,2681,698520,85814,509307,11159,1152160,2335571,89.0,40.0
Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,193,3239774,4672,564927,119972,494698,110114,1019483,2220291,94.0,61.0
Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,182,2148665,1551,410070,57400,277212,24887,760253,1388412,93.0,40.0
Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,170,1799410,1655,378056,73522,387855,163,701689,1097721,86.0,56.0
Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,176,3260699,3159,635840,108116,864559,610,1192850,2067849,91.0,52.0
Uttar Pradesh,Bareilly,28.51101940789474,79.43187072368416,150,4448359,15164,631613,272830,557150,3227,1401971,3046388,89.0,49.0
